zip,Zipcode name,City,State,County Name
98837,"MOSES LAKE, WA",MOSES LAKE,WA,GRANT
98564,"MOSSYROCK, WA",MOSSYROCK,WA,LEWIS
98273,"MOUNT VERNON, WA",MOUNT VERNON,WA,SKAGIT
98274,"MOUNT VERNON, WA",MOUNT VERNON,WA,SKAGIT
98043,"MOUNTLAKE TERRACE, WA",MOUNTLAKE TERRACE,WA,SNOHOMISH
98936,"MOXEE, WA",MOXEE,WA,YAKIMA
98275,"MUKILTEO, WA",MUKILTEO,WA,SNOHOMISH
98937,"NACHES, WA",NACHES,WA,YAKIMA
98637,"NAHCOTTA, WA",NAHCOTTA,WA,PACIFIC
98565,"NAPAVINE, WA",NAPAVINE,WA,LEWIS
98638,"NASELLE, WA",NASELLE,WA,PACIFIC
98357,"NEAH BAY, WA",NEAH BAY,WA,CLALLAM
98566,"NEILTON, WA",NEILTON,WA,GRAYS HARBOR
99155,"NESPELEM, WA",NESPELEM,WA,OKANOGAN
99025,"NEWMAN LAKE, WA",NEWMAN LAKE,WA,SPOKANE
99156,"NEWPORT, WA",NEWPORT,WA,PEND OREILLE
99026,"NINE MILE FALLS, WA",NINE MILE FALLS,WA,SPOKANE
98276,"NOOKSACK, WA",NOOKSACK,WA,WHATCOM
98358,"NORDLAND, WA",NORDLAND,WA,JEFFERSON
98045,"NORTH BEND, WA",NORTH BEND,WA,KING
98639,"NORTH BONNEVILLE, WA",NORTH BONNEVILLE,WA,SKAMANIA
98259,"NORTH LAKEWOOD, WA",NORTH LAKEWOOD,WA,SNOHOMISH
99157,"NORTHPORT, WA",NORTHPORT,WA,STEVENS
98277,"OAK HARBOR, WA",OAK HARBOR,WA,ISLAND
98278,"OAK HARBOR, WA",OAK HARBOR,WA,ISLAND
99158,"OAKESDALE, WA",OAKESDALE,WA,WHITMAN
98568,"OAKVILLE, WA",OAKVILLE,WA,GRAYS HARBOR
98640,"OCEAN PARK, WA",OCEAN PARK,WA,PACIFIC
98569,"OCEAN SHORES, WA",OCEAN SHORES,WA,GRAYS HARBOR
99159,"ODESSA, WA",ODESSA,WA,LINCOLN
98840,"OKANOGAN, WA",OKANOGAN,WA,OKANOGAN
98359,"OLALLA, WA",OLALLA,WA,KITSAP
98279,"OLGA, WA",OLGA,WA,SAN JUAN
98501,"OLYMPIA, WA",OLYMPIA,WA,THURSTON
98502,"OLYMPIA, WA",OLYMPIA,WA,THURSTON
98504,"OLYMPIA, WA",OLYMPIA,WA,THURSTON
98505,"OLYMPIA, WA",OLYMPIA,WA,THURSTON
98506,"OLYMPIA, WA",OLYMPIA,WA,THURSTON
98507,"OLYMPIA, WA",OLYMPIA,WA,THURSTON
98508,"OLYMPIA, WA",OLYMPIA,WA,THURSTON
98512,"OLYMPIA, WA",OLYMPIA,WA,THURSTON
98513,"OLYMPIA, WA",OLYMPIA,WA,THURSTON
98516,"OLYMPIA, WA",OLYMPIA,WA,THURSTON
98599,"OLYMPIA, WA",OLYMPIA,WA,THURSTON
98841,"OMAK, WA",OMAK,WA,OKANOGAN
98570,"ONALASKA, WA",ONALASKA,WA,LEWIS
98280,"ORCAS, WA",ORCAS,WA,SAN JUAN
99160,"ORIENT, WA",ORIENT,WA,FERRY
98843,"ORONDO, WA",ORONDO,WA,DOUGLAS
98844,"OROVILLE, WA",OROVILLE,WA,OKANOGAN
98360,"ORTING, WA",ORTING,WA,PIERCE
99344,"OTHELLO, WA",OTHELLO,WA,ADAMS
99027,"OTIS ORCHARDS, WA",OTIS ORCHARDS,WA,SPOKANE
98938,"OUTLOOK, WA",OUTLOOK,WA,YAKIMA
98641,"OYSTERVILLE, WA",OYSTERVILLE,WA,PACIFIC
98047,"PACIFIC, WA",PACIFIC,WA,KING
98571,"PACIFIC BEACH, WA",PACIFIC BEACH,WA,GRAYS HARBOR
98361,"PACKWOOD, WA",PACKWOOD,WA,LEWIS
98845,"PALISADES, WA",PALISADES,WA,DOUGLAS
99161,"PALOUSE, WA",PALOUSE,WA,WHITMAN
98398,"PARADISE INN, WA",PARADISE INN,WA,PIERCE
98939,"PARKER, WA",PARKER,WA,YAKIMA
99301,"PASCO, WA",PASCO,WA,FRANKLIN
99302,"PASCO, WA",PASCO,WA,FRANKLIN
98846,"PATEROS, WA",PATEROS,WA,OKANOGAN
99345,"PATERSON, WA",PATERSON,WA,BENTON
98572,"PE ELL, WA",PE ELL,WA,LEWIS
98847,"PESHASTIN, WA",PESHASTIN,WA,CHELAN
99346,"PLYMOUTH, WA",PLYMOUTH,WA,BENTON
98281,"POINT ROBERTS, WA",POINT ROBERTS,WA,WHATCOM
99347,"POMEROY, WA",POMEROY,WA,GARFIELD
98362,"PORT ANGELES, WA",PORT ANGELES,WA,CLALLAM
98363,"PORT ANGELES, WA",PORT ANGELES,WA,CLALLAM
98364,"PORT GAMBLE, WA",PORT GAMBLE,WA,KITSAP
98339,"PORT HADLOCK, WA",PORT HADLOCK,WA,JEFFERSON
98365,"PORT LUDLOW, WA",PORT LUDLOW,WA,JEFFERSON
98366,"PORT ORCHARD, WA",PORT ORCHARD,WA,KITSAP
98367,"PORT ORCHARD, WA",PORT ORCHARD,WA,KITSAP
98368,"PORT TOWNSEND, WA",PORT TOWNSEND,WA,JEFFERSON
98370,"POULSBO, WA",POULSBO,WA,KITSAP
99348,"PRESCOTT, WA",PRESCOTT,WA,WALLA WALLA
98050,"PRESTON, WA",PRESTON,WA,KING
99350,"PROSSER, WA",PROSSER,WA,BENTON
99163,"PULLMAN, WA",PULLMAN,WA,WHITMAN
99164,"PULLMAN, WA",PULLMAN,WA,WHITMAN
98371,"PUYALLUP, WA",PUYALLUP,WA,PIERCE
98372,"PUYALLUP, WA",PUYALLUP,WA,PIERCE
98373,"PUYALLUP, WA",PUYALLUP,WA,PIERCE
98374,"PUYALLUP, WA",PUYALLUP,WA,PIERCE
98375,"PUYALLUP, WA",PUYALLUP,WA,PIERCE
98376,"QUILCENE, WA",QUILCENE,WA,JEFFERSON
98575,"QUINAULT, WA",QUINAULT,WA,GRAYS HARBOR
98848,"QUINCY, WA",QUINCY,WA,GRANT
98576,"RAINIER, WA",RAINIER,WA,THURSTON
98377,"RANDLE, WA",RANDLE,WA,LEWIS
98051,"RAVENSDALE, WA",RAVENSDALE,WA,KING
98577,"RAYMOND, WA",RAYMOND,WA,PACIFIC
99029,"REARDAN, WA",REARDAN,WA,LINCOLN
98052,"REDMOND, WA",REDMOND,WA,KING
98053,"REDMOND, WA",REDMOND,WA,KING
98073,"REDMOND, WA",REDMOND,WA,KING
98055,"RENTON, WA",RENTON,WA,KING
98056,"RENTON, WA",RENTON,WA,KING
98057,"RENTON, WA",RENTON,WA,KING
98058,"RENTON, WA",RENTON,WA,KING
98059,"RENTON, WA",RENTON,WA,KING
99166,"REPUBLIC, WA",REPUBLIC,WA,FERRY
99167,"RICE, WA",RICE,WA,STEVENS
99352,"RICHLAND, WA",RICHLAND,WA,BENTON
99354,"RICHLAND, WA",RICHLAND,WA,BENTON
98642,"RIDGEFIELD, WA",RIDGEFIELD,WA,CLARK
99169,"RITZVILLE, WA",RITZVILLE,WA,ADAMS
98849,"RIVERSIDE, WA",RIVERSIDE,WA,OKANOGAN
98579,"ROCHESTER, WA",ROCHESTER,WA,THURSTON
98850,"ROCK ISLAND, WA",ROCK ISLAND,WA,DOUGLAS
99030,"ROCKFORD, WA",ROCKFORD,WA,SPOKANE
98283,"ROCKPORT, WA",ROCKPORT,WA,SKAGIT
98061,"ROLLINGBAY, WA",ROLLINGBAY,WA,KITSAP
98940,"RONALD, WA",RONALD,WA,KITTITAS
99356,"ROOSEVELT, WA",ROOSEVELT,WA,KLICKITAT
